participant_id,split,sample_id,mode,row_start,row_end_exclusive,sequence_length,timestamp_start,timestamp_end,segment_id_start,segment_id_end,crosses_segment_boundary,padded_length,padding_steps,valid_target_steps
1,train,0,sliding,0,300,300,500,150000,1,23,True,300,0,300
1,train,1,sliding,50,350,300,25500,175000,5,28,True,300,0,300
1,train,2,sliding,100,400,300,50500,200000,9,32,True,300,0,300
1,train,3,sliding,150,450,300,75500,225000,13,37,True,300,0,300
1,train,4,sliding,200,500,300,100500,250000,18,41,True,300,0,300
1,train,5,sliding,250,550,300,125500,275000,21,45,True,300,0,300
1,train,6,sliding,300,598,298,150500,299000,23,47,True,300,2,298
4,train,0,sliding,0,300,300,500,150000,1,25,True,300,0,300
4,train,1,sliding,50,350,300,25500,175000,5,26,True,300,0,300
4,train,2,sliding,100,400,300,50500,200000,7,29,True,300,0,300
4,train,3,sliding,150,450,300,75500,225000,12,34,True,300,0,300
4,train,4,sliding,200,500,300,100500,250000,16,39,True,300,0,300
4,train,5,sliding,250,550,300,125500,275000,20,43,True,300,0,300
4,train,6,sliding,300,600,300,150500,300000,25,48,True,300,0,300
4,train,7,sliding,350,604,254,175500,302000,26,48,True,300,46,254
5,train,0,sliding,0,300,300,500,150000,1,29,True,300,0,300
5,train,1,sliding,50,350,300,25500,175000,5,33,True,300,0,300
5,train,2,sliding,100,400,300,50500,200000,9,40,True,300,0,300
5,train,3,sliding,150,450,300,75500,225000,15,44,True,300,0,300
5,train,4,sliding,200,500,300,100500,250000,20,49,True,300,0,300
5,train,5,sliding,250,550,300,125500,275000,25,52,True,300,0,300
5,train,6,sliding,300,590,290,150500,295000,29,53,True,300,10,290
8,train,0,sliding,0,300,300,500,150000,1,22,True,300,0,300
8,train,1,sliding,50,350,300,25500,175000,3,28,True,300,0,300
8,train,2,sliding,100,400,300,50500,200000,7,32,True,300,0,300
8,train,3,sliding,150,450,300,75500,225000,11,36,True,300,0,300
8,train,4,sliding,200,500,300,100500,250000,15,41,True,300,0,300
8,train,5,sliding,250,550,300,125500,275000,18,43,True,300,0,300
8,train,6,sliding,300,600,300,150500,300000,22,46,True,300,0,300
8,train,7,sliding,350,650,300,175500,325000,28,48,True,300,0,300
8,train,8,sliding,400,670,270,200500,335000,32,49,True,300,30,270
9,train,0,sliding,0,300,300,500,150000,1,21,True,300,0,300
9,train,1,sliding,50,350,300,25500,175000,4,24,True,300,0,300
9,train,2,sliding,100,400,300,50500,200000,9,28,True,300,0,300
9,train,3,sliding,150,450,300,75500,225000,12,33,True,300,0,300
9,train,4,sliding,200,500,300,100500,250000,15,38,True,300,0,300
9,train,5,sliding,250,550,300,125500,275000,17,41,True,300,0,300
9,train,6,sliding,300,600,300,150500,300000,21,45,True,300,0,300
9,train,7,sliding,350,638,288,175500,319000,25,47,True,300,12,288
10,train,0,sliding,0,300,300,500,150000,1,17,True,300,0,300
10,train,1,sliding,50,350,300,25500,175000,3,19,True,300,0,300
10,train,2,sliding,100,400,300,50500,200000,6,22,True,300,0,300
10,train,3,sliding,150,450,300,75500,225000,8,25,True,300,0,300
10,train,4,sliding,200,500,300,100500,250000,12,26,True,300,0,300
10,train,5,sliding,250,550,300,125500,275000,15,29,True,300,0,300
10,train,6,sliding,300,588,288,150500,294000,17,30,True,300,12,288
11,train,0,sliding,0,300,300,500,150000,1,26,True,300,0,300
11,train,1,sliding,50,350,300,25500,175000,4,29,True,300,0,300
11,train,2,sliding,100,400,300,50500,200000,8,34,True,300,0,300
11,train,3,sliding,150,450,300,75500,225000,12,39,True,300,0,300
11,train,4,sliding,200,500,300,100500,250000,16,43,True,300,0,300
11,train,5,sliding,250,550,300,125500,275000,22,48,True,300,0,300
11,train,6,sliding,300,600,300,150500,300000,26,52,True,300,0,300
11,train,7,sliding,350,618,268,175500,309000,29,53,True,300,32,268
16,train,0,sliding,0,300,300,500,150000,1,19,True,300,0,300
16,train,1,sliding,50,350,300,25500,175000,5,24,True,300,0,300
16,train,2,sliding,100,400,300,50500,200000,8,26,True,300,0,300
16,train,3,sliding,150,450,300,75500,225000,10,28,True,300,0,300
16,train,4,sliding,200,500,300,100500,250000,13,31,True,300,0,300
16,train,5,sliding,250,550,300,125500,275000,16,35,True,300,0,300
16,train,6,sliding,300,600,300,150500,300000,19,37,True,300,0,300
16,train,7,sliding,350,630,280,175500,315000,24,38,True,300,20,280
18,train,0,sliding,0,300,300,500,150000,1,20,True,300,0,300
18,train,1,sliding,50,350,300,25500,175000,4,23,True,300,0,300
18,train,2,sliding,100,400,300,50500,200000,7,24,True,300,0,300
18,train,3,sliding,150,450,300,75500,225000,11,28,True,300,0,300
18,train,4,sliding,200,500,300,100500,250000,15,32,True,300,0,300
18,train,5,sliding,250,550,300,125500,275000,18,35,True,300,0,300
18,train,6,sliding,300,600,300,150500,300000,20,39,True,300,0,300
18,train,7,sliding,350,648,298,175500,324000,23,41,True,300,2,298
20,train,0,sliding,0,300,300,500,150000,1,19,True,300,0,300
20,train,1,sliding,50,350,300,25500,175000,3,23,True,300,0,300
